organization,labor_hours,status,licenses,date_created
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['LGPL-2.1'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),24213.6,Production,['GPL-2.0'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),5639.2,Production,['GPL-2.0'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),58793.6,Production,['GPL-2.0'],2017-10-25
Lawrence Berkeley National Laboratory (LBNL),997621.6,Production,['Other'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),2416.8,Production,['GPL-2.0'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2705.6,Production,['LGPL-2.1'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),68460.8,Production,['LGPL-2.1'],2017-10-25
Sandia National Laboratories (SNL),46876.8,Production,['LGPL-2.1'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),775.2,Production,['BSD-3-Clause'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),68460.8,Production,['LGPL-2.1'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),2340.8,Production,['LGPL-2.1'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),106.4,Production,['LGPL-3.0'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),18635.2,Production,['GPL-2.0'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),8344830.4,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),2002235.2,Production,['BSD-3-Clause'],2017-10-25
Sandia National Laboratories (SNL),1281025.6,Production,['GPL-3.0'],2017-10-25
Sandia National Laboratories (SNL),409913.6,Production,['GPL-3.0'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),3298.4,Production,['LGPL-3.0'],2017-10-25
Lawrence Livermore National Laboratory (LLNL),310733.6,Production,['Other'],2017-10-25
